##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	trimmed_Hl22042008-f-P_S10_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	41373400
Total Bases	6.2 Gbp
Sequences flagged as poor quality	0
Sequence length	36-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.183376565619454	37.0	37.0	37.0	37.0	37.0
2	36.126906780685175	37.0	37.0	37.0	37.0	37.0
3	36.2969467097217	37.0	37.0	37.0	37.0	37.0
4	36.32328389738334	37.0	37.0	37.0	37.0	37.0
5	36.344293749123835	37.0	37.0	37.0	37.0	37.0
6	36.34834492693373	37.0	37.0	37.0	37.0	37.0
7	36.28551740973669	37.0	37.0	37.0	37.0	37.0
8	36.34292506779718	37.0	37.0	37.0	37.0	37.0
9	36.351999980663905	37.0	37.0	37.0	37.0	37.0
10-14	36.35930644327031	37.0	37.0	37.0	37.0	37.0
15-19	36.31232877162621	37.0	37.0	37.0	37.0	37.0
20-24	36.29259485563188	37.0	37.0	37.0	37.0	37.0
25-29	36.21832516544447	37.0	37.0	37.0	37.0	37.0
30-34	36.17879937834455	37.0	37.0	37.0	37.0	37.0
35-39	36.1457597885518	37.0	37.0	37.0	37.0	37.0
40-44	36.101235344278244	37.0	37.0	37.0	37.0	37.0
45-49	36.05892726746616	37.0	37.0	37.0	37.0	37.0
50-54	36.033813735439814	37.0	37.0	37.0	37.0	37.0
55-59	35.9997107407111	37.0	37.0	37.0	37.0	37.0
60-64	35.95493915575006	37.0	37.0	37.0	37.0	37.0
65-69	35.882799343709664	37.0	37.0	37.0	37.0	37.0
70-74	35.84428246170951	37.0	37.0	37.0	37.0	37.0
75-79	35.80317359859758	37.0	37.0	37.0	37.0	37.0
80-84	35.7486296506307	37.0	37.0	37.0	37.0	37.0
85-89	35.70713809692914	37.0	37.0	37.0	37.0	37.0
90-94	35.64854755150778	37.0	37.0	37.0	37.0	37.0
95-99	35.58498205764848	37.0	37.0	37.0	37.0	37.0
100-104	35.53509970641767	37.0	37.0	37.0	37.0	37.0
105-109	35.47955757389999	37.0	37.0	37.0	37.0	37.0
110-114	35.44781515794709	37.0	37.0	37.0	37.0	37.0
115-119	35.39094274720494	37.0	37.0	37.0	37.0	37.0
120-124	35.15888806026955	37.0	37.0	37.0	25.0	37.0
125-129	35.24642048282282	37.0	37.0	37.0	27.4	37.0
130-134	35.14831005486884	37.0	37.0	37.0	25.0	37.0
135-139	34.964303747502356	37.0	37.0	37.0	25.0	37.0
140-144	34.964025684896015	37.0	37.0	37.0	25.0	37.0
145-149	34.761943545517134	37.0	37.0	37.0	25.0	37.0
150-151	34.21569624797	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.03419746762038045
1101	2	-0.21877820492407096
1101	3	0.003332919808627821
1101	4	-0.1989451918162004
1101	5	-0.0032904700743614512
1101	6	-0.16070999494048976
1101	7	-0.06872413667839794
1101	8	-0.1360185400706868
1101	9	0.015102060551434704
1101	10-14	-0.14952249825802255
1101	15-19	-0.12564834379475798
1101	20-24	-0.11602504220627452
1101	25-29	-0.19607709732034806
1101	30-34	-0.24576284877178978
1101	35-39	-0.2486895211618716
1101	40-44	-0.27993125377960837
1101	45-49	-0.2609161211483979
1101	50-54	-0.26679218432598617
1101	55-59	-0.23547814445303317
1101	60-64	-0.32128650084859345
1101	65-69	-0.2562819932184439
1101	70-74	-0.32904896110790105
1101	75-79	-0.31396245784703325
1101	80-84	-0.3947785685745657
1101	85-89	-0.33307083781036795
1101	90-94	-0.3921589836749675
1101	95-99	-0.43468439921617374
1101	100-104	-0.4633516702667606
1101	105-109	-0.37831699288991416
1101	110-114	-0.43814708704632466
1101	115-119	-0.5285031191579961
1101	120-124	-0.5454171316333571
1101	125-129	-0.5369112067544108
1101	130-134	-0.6716091698727737
1101	135-139	-0.5740828210482221
1101	140-144	-0.6872454234537315
1101	145-149	-0.5893657488074524
1101	150-151	-0.41679340747020177
1102	1	-0.157250345866629
1102	2	-0.00353620317660841
1102	3	-0.0629727054367919
1102	4	-0.10826731159493619
1102	5	-0.15663117073259514
1102	6	-0.029309830659897784
1102	7	-0.08039384915682035
1102	8	-0.056850013144519096
1102	9	-0.08620699102468876
1102	10-14	-0.08733534310331237
1102	15-19	-0.1104519047083059
1102	20-24	-0.11524148529980494
1102	25-29	-0.1611881852771333
1102	30-34	-0.19226869206187303
1102	35-39	-0.21809687386367926
1102	40-44	-0.1899265091741995
1102	45-49	-0.2296113349630886
1102	50-54	-0.15361293381373287
1102	55-59	-0.18903976807916223
1102	60-64	-0.3564347060421724
1102	65-69	-0.2718592251544507
1102	70-74	-0.3228512718358445
1102	75-79	-0.32786453471959476
1102	80-84	-0.3666037479449358
1102	85-89	-0.2973829478770398
1102	90-94	-0.3762649370906743
1102	95-99	-0.4197069507643576
1102	100-104	-0.3923887290847219
1102	105-109	-0.4030896987600059
1102	110-114	-0.4255391657829435
1102	115-119	-0.4553208889623832
1102	120-124	-0.471342210759218
1102	125-129	-0.49212521992485136
1102	130-134	-0.5121402598381906
1102	135-139	-0.5489666567528175
1102	140-144	-0.5711143252487858
1102	145-149	-0.5292776359811171
1102	150-151	-0.3057519634336643
1103	1	0.11043072884091742
1103	2	-0.012189970178411613
1103	3	-0.008814781369636648
1103	4	0.03642115575408411
1103	5	0.08974342648600242
1103	6	4.514290087769268E-4
1103	7	-0.17614878039749726
1103	8	-0.04751075527499182
1103	9	0.025011607423351734
1103	10-14	-0.00410354532874635
1103	15-19	0.026996032038198337
1103	20-24	-0.04262096771422108
1103	25-29	-0.09959989553391324
1103	30-34	-0.07882075294649837
1103	35-39	-0.1440701376470841
1103	40-44	-0.1186313726356758
1103	45-49	-0.17101231839819775
1103	50-54	-0.11849176757713309
1103	55-59	-0.16116044439370825
1103	60-64	-0.15963977852472766
1103	65-69	-0.1659463029360566
1103	70-74	-0.18313565368872986
1103	75-79	-0.18511405518113122
1103	80-84	-0.2478642444521313
1103	85-89	-0.3004069913442393
1103	90-94	-0.29261044032209327
1103	95-99	-0.31799280666189134
1103	100-104	-0.3088522224456369
1103	105-109	-0.2352573948089045
1103	110-114	-0.32593107565328694
1103	115-119	-0.40142005469429876
1103	120-124	-0.38546193395202977
1103	125-129	-0.2678280172255114
1103	130-134	-0.44860828855236434
1103	135-139	-0.5018952340099219
1103	140-144	-0.4433040981793255
1103	145-149	-0.3013194213950925
1103	150-151	-0.24623379580801696
1104	1	0.026363168996347497
1104	2	-0.05078304596646177
