##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Hl22042008-f-P_S10_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	41480263
Total Bases	6.2 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.181330238913866	37.0	37.0	37.0	37.0	37.0
2	36.127642464562	37.0	37.0	37.0	37.0	37.0
3	36.29689503174076	37.0	37.0	37.0	37.0	37.0
4	36.32322410781243	37.0	37.0	37.0	37.0	37.0
5	36.3437790160588	37.0	37.0	37.0	37.0	37.0
6	36.347967827494244	37.0	37.0	37.0	37.0	37.0
7	36.286653703232304	37.0	37.0	37.0	37.0	37.0
8	36.34307547664295	37.0	37.0	37.0	37.0	37.0
9	36.35179403274275	37.0	37.0	37.0	37.0	37.0
10-14	36.35958112898175	37.0	37.0	37.0	37.0	37.0
15-19	36.31275634390264	37.0	37.0	37.0	37.0	37.0
20-24	36.29312316076684	37.0	37.0	37.0	37.0	37.0
25-29	36.21875515591596	37.0	37.0	37.0	37.0	37.0
30-34	36.17916348312449	37.0	37.0	37.0	37.0	37.0
35-39	36.14619591491019	37.0	37.0	37.0	37.0	37.0
40-44	36.09848675742485	37.0	37.0	37.0	37.0	37.0
45-49	36.02993940997915	37.0	37.0	37.0	37.0	37.0
50-54	36.013193474689395	37.0	37.0	37.0	37.0	37.0
55-59	35.95762794946599	37.0	37.0	37.0	37.0	37.0
60-64	35.913119581715286	37.0	37.0	37.0	37.0	37.0
65-69	35.83650872223255	37.0	37.0	37.0	37.0	37.0
70-74	35.80583020411419	37.0	37.0	37.0	37.0	37.0
75-79	35.79174240529767	37.0	37.0	37.0	37.0	37.0
80-84	35.74176163733581	37.0	37.0	37.0	37.0	37.0
85-89	35.70275080946328	37.0	37.0	37.0	37.0	37.0
90-94	35.645716600205745	37.0	37.0	37.0	37.0	37.0
95-99	35.58321787882589	37.0	37.0	37.0	37.0	37.0
100-104	35.5339135916279	37.0	37.0	37.0	37.0	37.0
105-109	35.47871665616007	37.0	37.0	37.0	37.0	37.0
110-114	35.447115246111146	37.0	37.0	37.0	37.0	37.0
115-119	35.39020306597381	37.0	37.0	37.0	37.0	37.0
120-124	35.15790274039487	37.0	37.0	37.0	25.0	37.0
125-129	35.244417481152425	37.0	37.0	37.0	27.4	37.0
130-134	35.14456088188255	37.0	37.0	37.0	25.0	37.0
135-139	34.957381268291385	37.0	37.0	37.0	25.0	37.0
140-144	34.951617891140174	37.0	37.0	37.0	25.0	37.0
145-149	34.741686300301424	37.0	37.0	37.0	25.0	37.0
150-151	34.17776431407872	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.03453570973539399
1101	2	-0.24706292228650284
1101	3	-0.008864863730131844
1101	4	-0.21003849424422327
1101	5	-0.016671585897015007
1101	6	-0.1379691674642629
1101	7	-0.046765114294814225
1101	8	-0.12316001533087473
1101	9	-0.005357361152931617
1101	10-14	-0.15753274093179925
1101	15-19	-0.1343271759712863
1101	20-24	-0.128865543157211
1101	25-29	-0.19553326581436892
1101	30-34	-0.26843823483488904
1101	35-39	-0.25183443784434445
1101	40-44	-0.2992671056228744
1101	45-49	-0.27702214808642367
1101	50-54	-0.2888299508206842
1101	55-59	-0.2581614211104082
1101	60-64	-0.3311385323559932
1101	65-69	-0.27113106290207867
1101	70-74	-0.3377407376484598
1101	75-79	-0.3662471246593171
1101	80-84	-0.41747483380482464
1101	85-89	-0.3493189862470487
1101	90-94	-0.39980701905648175
1101	95-99	-0.466416059973902
1101	100-104	-0.46388344125204384
1101	105-109	-0.3962392988667105
1101	110-114	-0.4380715138107263
1101	115-119	-0.5562424193796502
1101	120-124	-0.5596481003076619
1101	125-129	-0.5484189178435344
1101	130-134	-0.7025275099549262
1101	135-139	-0.6010905075714632
1101	140-144	-0.7034522608266656
1101	145-149	-0.6394611221850752
1101	150-151	-0.44718093866165987
1102	1	0.057061703327804025
1102	2	0.031255503686843156
1102	3	0.02735962404027248
1102	4	0.038600787344094556
1102	5	-0.04608652660502344
1102	6	0.032503739252582875
1102	7	-0.04962927271380124
1102	8	-0.08325335009340762
1102	9	-0.09254715507009337
1102	10-14	-0.0344486046654211
1102	15-19	-0.029346172434017603
1102	20-24	-0.09822264092646549
1102	25-29	-0.10532781817671832
1102	30-34	-0.15543667462385002
1102	35-39	-0.18236371859896394
1102	40-44	-0.14484122755753503
1102	45-49	-0.1325392607828988
1102	50-54	-0.1992033295708424
1102	55-59	-0.24076804545684638
1102	60-64	-0.21673849900796682
1102	65-69	-0.2496082889818183
1102	70-74	-0.3005156504076538
1102	75-79	-0.2869727617454956
1102	80-84	-0.33557288493051374
1102	85-89	-0.28582308130479106
1102	90-94	-0.2927770971464341
1102	95-99	-0.37304969621844464
1102	100-104	-0.3528609670669951
1102	105-109	-0.31402848378545656
1102	110-114	-0.39169263263688237
1102	115-119	-0.4364416738131567
1102	120-124	-0.4087884756317166
1102	125-129	-0.4371761879108931
1102	130-134	-0.5733363979968829
1102	135-139	-0.5620739963304047
1102	140-144	-0.6432121153657704
1102	145-149	-0.4462200914135792
1102	150-151	-0.397763238801808
1103	1	0.08413514761870289
1103	2	-0.11967381594703852
1103	3	-0.06286349278561687
1103	4	-0.015035376007865864
1103	5	-0.07916349590142602
1103	6	2.729715624667506E-4
1103	7	-0.01902080869488998
1103	8	-0.11544406090276027
1103	9	-0.08906721355313607
1103	10-14	-0.021564308965537293
1103	15-19	-0.04992339208592256
1103	20-24	-0.10246566602209839
1103	25-29	-0.13208982021961901
1103	30-34	-0.1158935233490368
1103	35-39	-0.15615750577675414
1103	40-44	-0.17660833685273758
1103	45-49	-0.24387836230705773
1103	50-54	-0.22691868537608428
1103	55-59	-0.23760755756404706
1103	60-64	-0.23617710182396223
1103	65-69	-0.22410707726117352
