"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g5096.t1",2172.48907737571,-28.8455287893288,3.06149614233186,-9.42203662793382,4.4242184584723e-21,5.07723310294281e-17
"g10868.t1",323.092892539679,-26.234713428899,2.91092502251133,-9.0125005714732,2.01410687067619e-19,1.155694522394e-15
"g12910.t1",328.893816174559,-26.2555249321648,2.9623010161049,-8.86321977051743,7.77361295135958e-19,2.97366607432675e-15
"g6079.t1",1261.63963137603,-12.4833410002166,1.43331260683617,-8.70943361600075,3.05396894554316e-18,8.76183690476332e-15
"g6928.t1",303.146924524053,-26.1504849279562,3.22607449093917,-8.10597678429407,5.23234361280471e-16,1.20092750601094e-12
"g13567.t1",229.942579673273,-25.7704587732134,3.22612199658707,-7.98806083603661,1.37077806753158e-15,2.43173993797526e-12
"g7286.t1",1027.16189594622,-3.82232044371819,0.47908789005925,-7.97832824212165,1.48328507893228e-15,2.43173993797526e-12
"g5425.t1",126.510899625438,-24.9537992280559,3.22628282816844,-7.73453554976214,1.03781277919416e-14,1.48874243175403e-11
"g11995.t1",96.6081804069862,-24.5841507268725,3.22639344656935,-7.61970018040206,2.54265608249844e-14,2.94582373025676e-11
"g18274.t1",92.8884789280431,-24.531853100533,3.22641250349044,-7.60344595552913,2.88347701529459e-14,2.94582373025676e-11
"g7643.t1",91.0027618068654,-24.5043530480328,3.22642260358385,-7.59489876521873,3.08033154087497e-14,2.94582373025676e-11
"g9622.t1",91.4341460787831,-24.5135174516542,3.22641999881676,-7.59774532163952,3.01334613384009e-14,2.94582373025676e-11
"g9626.t1",80.2292577224881,-24.3272877057015,3.22648929866097,-7.5398631310501,4.70464973267179e-14,4.15312002554935e-11
"g2744.t1",99.1196163496313,-24.2594572855611,3.22638159950806,-7.51909113579746,5.51583277738453e-14,4.52140692523321e-11
"g14826.t1",30.6290838613727,-23.0267957341571,3.22740207340096,-7.13477751158905,9.69438390986305e-13,7.41684998330589e-10
"g8820.t1",29.8035552564784,-22.9875061074954,3.22744417366237,-7.12251083847877,1.05978416786124e-12,7.60130194398472e-10
"g10508.t1",25.3965596128653,-22.7656371608235,3.22770651872123,-7.05319304242161,1.74857994795128e-12,1.18039432251111e-09
"g205.t1",232.922360621171,-3.07022201478289,0.439118240071135,-6.99178885004989,2.71403147755677e-12,1.73034584646897e-09
"g8170.t1",31.2794543635999,-22.0733028979508,3.22737036090288,-6.83940807207996,7.95210676494792e-12,4.80307248602854e-09
"g15017.t1",607.565088479769,-2.76375278790234,0.4057094030924,-6.81214871244405,9.61516331608811e-12,5.3715862751234e-09
"g3046.t1",902.376636154019,-3.05801020514785,0.449114464949064,-6.80897731827603,9.8294973664684e-12,5.3715862751234e-09
"g3719.t1",1773.67841563983,-2.82112280837331,0.426993150145828,-6.60695097195315,3.9231589154025e-11,2.04646235059814e-08
"g14976.t1",29451.8275133713,-1.06469943914882,0.162873656096195,-6.53696530591782,6.27796043380689e-11,3.13242930166817e-08
"g11135.t1",23.8868284398502,7.96881226259749,1.22816226774718,6.48840342344556,8.67507360178236e-11,4.14813102725227e-08
"g5989.t1",1290.39284166159,-9.51747563050295,1.46931660427836,-6.47748456853339,9.32643077716076e-11,4.28120478394788e-08
"g381.t1",2839.02736493041,-3.06536360098917,0.474074198872789,-6.46599964367965,1.00631314760846e-10,4.44171141613644e-08
"g15437.t1",518.50773871858,-3.99009666251032,0.619204350565353,-6.44390928272264,1.1643469696964e-10,4.77215922294141e-08
"g9314.t1",44297.8324916572,-11.8847113814438,1.84279358188173,-6.4492906304286,1.12374884558559e-10,4.77215922294141e-08
"g8814.t1",22.6500902152966,7.89300212775939,1.2356372068723,6.38779901079421,1.68290324532761e-10,6.65965435978609e-08
"g6078.t1",1559.09401809169,-7.61836282009173,1.21896268725512,-6.24987368337489,4.10784776665428e-10,1.57138869900415e-07
"g2459.t1",2307.17734509606,-2.71785999659025,0.438209245297568,-6.2021968403352,5.56803730505565e-10,2.06125148751028e-07
"g15582.t1",2057.17858662814,-2.40311390010016,0.396591652690043,-6.05941623783575,1.36616446897622e-09,4.89940732686596e-07
"g5992.t1",2609.17263911054,-6.2988643792065,1.04287526866517,-6.03990195996185,1.54207896122102e-09,5.36269641180984e-07
"g14495.t1",9971.19004674935,-6.05928391207653,1.01103640058571,-5.99314120497176,2.05825982460729e-09,6.94723227858624e-07
"g5767.t1",725.263716801427,-4.93458966250485,0.840215846638213,-5.87300237462627,4.27972340493883e-09,1.40326016557366e-06
"g2457.t1",397.881706601752,-3.16995373130317,0.54833016519235,-5.78110403645434,7.42119769263557e-09,2.3017747221807e-06
"g7579.t1",26554.2122610311,-1.81391151748218,0.313575809689859,-5.78460283424356,7.26838491067247e-09,2.3017747221807e-06
"g2635.t1",680.038561563085,-3.21572783366899,0.557498323519292,-5.76813902034579,8.01516767462637e-09,2.42058063773716e-06
"g3161.t1",62.7187453969385,7.21779182563116,1.25554588859349,5.74872801639836,8.99173250404288e-09,2.64587492862554e-06
"g8346.t1",2006.71844110075,-4.25731967397257,0.74409081489928,-5.72150547853333,1.05584252864978e-08,3.02921221469621e-06
"g7828.t1",1365.6762478672,-2.71704502522187,0.479720130958304,-5.66381281476392,1.4804590278068e-08,4.14384092758801e-06
"g5868.t1",989.164462985037,-3.7574076915475,0.667783337896509,-5.62668679842055,1.83703836065329e-08,5.01948862544219e-06
"g820.t1",1425.99323372877,-1.29935591486036,0.23253130426714,-5.58787522804938,2.29864697718846e-08,6.13471458377089e-06
"g13336.t1",1489.85214941311,1.73729143018664,0.312522041843465,5.55894048285019,2.71417223938012e-08,6.92174235980584e-06
"g7510.t1",1578.28722704106,-9.00496697721916,1.61881754207743,-5.56268186077541,2.6565994314328e-08,6.92174235980584e-06
"g7283.t1",409.213949034943,-3.52438475931498,0.635522268388283,-5.54565108828209,2.92862316880983e-08,7.30627814896991e-06
"g14557.t1",536.222862732088,-2.49801573549434,0.451076608067123,-5.53789686900061,3.06125426081455e-08,7.47467104193783e-06
"g7312.t1",1263.68634505586,-3.36448066935522,0.610756852822153,-5.50870719470245,3.6147859623393e-08,8.64235077162621e-06
"g12684.t1",342.959454799094,-2.607675573159,0.474558080726761,-5.49495557881024,3.90808774203182e-08,9.15290100562391e-06
