gene_id,091304_G,091305_G,091301_G,090902_G,042008_G,042005_G,042004_G,042002_G,042001_G
g1.t1,0,0,0,0,0,0,0,0,0
g10.t1,0,0,49,0,155,48,32,103,12
g100.t1,249,210,414,348,460,954,1572,750,400
g1000.t1,0,0,0,0,0,0,0,0,0
g10000.t1,23959,10722,45884,40492,59748,109638,75295,32282,15517
g10001.t1,1803,1686,2398,3472,5126,1868,2162,3415,7095
g10002.t1,0,0,135,32,30,36,10,27,45
g10003.t1,552,271,352,1038,1326,1138,521,535,2560
g10004.t1,262,56,121,321,510,653,870,494,352
g10005.t1,0,0,38,155,276,88,35,197,240
g10006.t1,834,456,1401,860,1131,1525,1284,1056,2138
g10007.t1,1070,696,2807,1204,1510,1647,2601,1456,2983
g10008.t1,566,0,1641,1126,1117,1400,2364,1366,1097
g10009.t1,88,163,387,383,62,66,42,73,9
g1001.t1,0,0,0,0,0,0,0,0,5
g10010.t1,916,450,1973,675,742,645,1150,661,1138
g10011.t1,356,0,339,773,183,460,271,233,617
g10012.t1,307,12,149,172,1029,1193,1069,743,3096
g10013.t1,236,200,373,266,230,381,509,296,177
g10013.t2,0,0,0,0,0,13,2,0,0
g10013.t3,0,0,0,0,0,0,0,0,0
g10014.t1,7481,3167,12045,11367,3910,8341,6875,6793,3201
g10015.t1,221,0,505,197,1317,193,79,1095,143
g10016.t1,788,471,978,993,855,720,356,1078,70
g10017.t1,0,0,13,0,0,0,0,0,0
g10017.t2,45,0,136,18,158,58,163,164,0
g10018.t1,305,258,489,622,281,461,577,306,296
g10019.t1,0,0,0,0,0,0,0,0,0
g1002.t1,639,465,2238,864,1136,1232,1387,889,2835
g10020.t1,776,1075,1419,3648,16053,3178,1121,1627,18669
g10021.t1,0,100,56,237,67,183,118,88,86
g10022.t1,0,0,0,0,0,0,0,0,0
g10022.t2,0,0,0,0,0,0,0,0,0
g10023.t1,1978,2478,4223,3071,2950,1710,2992,1372,2918
g10024.t1,3896,2549,9606,6244,12516,8756,11588,7821,9399
g10025.t1,0,0,0,17,22,104,131,41,35
g10025.t2,0,0,0,0,12,23,16,4,0
g10026.t1,22,0,0,0,100,102,205,76,0
g10026.t2,23,0,0,0,10,0,9,4,0
g10027.t1,357,679,515,597,817,554,964,983,1518
g10028.t1,19077,14396,57241,19476,9472,5238,4366,6194,2284
g10029.t1,0,0,0,0,10,0,0,0,0
g1003.t1,30166,23748,50334,43671,81230,48147,55479,53500,106992
g10030.t1,280,981,700,993,175,530,505,486,79
g10031.t1,0,0,0,0,0,2,0,0,0
g10031.t2,0,0,0,0,0,0,0,0,0
g10032.t1,13332,5102,41460,12777,257472,22405,587,87165,55980
g10033.t1,0,0,0,96,34,14,21,4,5
g10034.t1,0,0,0,0,9,0,0,1,0
g10035.t1,0,0,0,0,0,0,0,0,0
g10035.t2,0,0,0,0,0,0,0,0,0
g10035.t3,0,0,0,0,0,0,0,0,0
g10036.t1,1775,834,2347,1785,9273,12836,19186,20388,2709
g10037.t1,160,120,925,1020,1704,985,481,1142,1596
g10038.t1,0,0,0,0,0,10,2,10,29
g10038.t2,0,0,0,0,0,18,0,0,0
g10039.t1,0,0,16,65,2,21,5,0,0
g1004.t1,795,536,1326,1106,5778,1676,2241,1483,9445
g10040.t1,0,0,9,152,88,220,107,49,203
g10041.t1,0,0,0,0,5,10,26,7,0
g10042.t1,0,0,0,0,0,0,0,0,0
g10043.t1,0,0,0,0,0,0,0,0,0
g10044.t1,0,0,0,0,0,0,0,0,0
g10045.t1,228,131,808,379,797,1241,1637,792,933
