sample,sex,body_part,reads,mapped,map_percent,feature_counts,no_feature,ambiguous,too_low_aqual,not_aligned,alignment_not_uniqe,perc_feature_mapped,perc_no_feature,perc_not_unique
Hl22042001-f-G,Female,Genitalia,50971000,x,82.79,93166904,75659033,62516,2908270,8834341,5192798,0.501372122,0.4071545612,0.02794473188
Hl22042001-f-P,Female,Proboscis,58210727,x,86.25,103472745,86714745,22672,3768498,7435229,5089533,0.5010703648,0.4199191672,0.02464624049
Hl22042001-L,Female,Legs,52760775,x,87.45,,,,,,,,,
Hl22042002-f-G,Female,Genitalia,51362707,x,87.37,,,,,,,,,
Hl22042002-f-P,Female,Proboscis,41516713,x,86.74,,,,,,,,,
Hl22042004-f-G,Female,Genitalia,65638144,x,85.77,,,,,,,,,
Hl22042004-f-P,Female,Proboscis,51485182,x,85,,,,,,,,,
Hl22042004-L,Female,Legs,32096868,x,87.35,,,,,,,,,
Hl22042005-f-G,Female,Genitalia,56023953,x,86.85,,,,,,,,,
Hl22042005-f-P,Female,Proboscis,39030292,x,85.81,,,,,,,,,
Hl22042005-L,Female,Legs,29050454,x,87.65,,,,,,,,,
Hl22042008-f-G,Female,Genitalia,57742700,x,85.34,,,,,,,,,
Hl22042008-f-P,Female,Proboscis,41480263,x,51.12,,,,,,,,,
Hl22042008-L,Female,Legs,33260185,x,85.33,,,,,,,,,
Hl22090902-G,Male,Genitalia,47715708,x,88.52,,,,,,,,,
Hl22090902-L,Male,Legs,50251267,x,86.71,,,,,,,,,
Hl22090902-P,Male,Proboscis,40015506,x,82.28,,,,,,,,,
Hl22091301-G,Male,Genitalia,65401714,x,88.33,,,,,,,,,
Hl22091301-L,Male,Legs,46548417,x,84.54,,,,,,,,,
Hl22091301-P,Male,Proboscis,37058036,x,84.78,,,,,,,,,
Hl22091304-G,Male,Genitalia,32151143,x,88.7,,,,,,,,,
Hl22091304-L,Male,Legs,37905754,x,86.34,,,,,,,,,
Hl22091304-P,Male,Proboscis,35361052,x,87.02,,,,,,,,,
Hl22091305-G,Male,Genitalia,24828900,x,88.65,,,,,,,,,
Hl22091305-L,Male,Legs,44211429,x,86.52,,,,,,,,,
