"","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"35","g10028.t1",16385.0872267369,-2.87183150926768,0.570960616936787,-5.02982416663885,4.9092983640333e-07,8.94271555962637e-05,"34740.HMEL018002-PA",4.86e-88,266,"KOG0032@1|root,KOG0032@2759|Eukaryota,38G5X@33154|Opisthokonta,3BC5Q@33208|Metazoa,3CTZS@33213|Bilateria,41V8C@6656|Arthropoda,3SJ36@50557|Insecta,444N4@7088|Lepidoptera","33208|Metazoa","T","EF-hand domain pair","-","GO:0003674,GO:0005488,GO:0005509,GO:0043167,GO:0043169,GO:0046872","-","-","-","-","-","-","-","-","-","-","EF-hand_7"
"57","g1005.t1",1373.06314048018,1.90326439313722,0.351109454507153,5.42071530317747,5.9361031356383e-08,1.31005229970356e-05,"34740.HMEL012135-PA",6.66e-36,123,"2E8FS@1|root,2SEY0@2759|Eukaryota,3ACFC@33154|Opisthokonta,3BVT0@33208|Metazoa,3DCJE@33213|Bilateria,421KJ@6656|Arthropoda,3SPCA@50557|Insecta,447MM@7088|Lepidoptera","33208|Metazoa","S","Domain of unknown function (DUF4512)","-","-","-","-","-","-","-","-","-","-","-","-","DUF4512"
"154","g10148.t1",334.986666579201,1.6777757597092,0.497855979556164,3.37000222675829,0.000751675762559307,0.0239617529198072,"7091.BGIBMGA000286-TA",2.63e-101,296,"KOG4810@1|root,KOG4810@2759|Eukaryota,38EIB@33154|Opisthokonta,3BJZK@33208|Metazoa,3D06P@33213|Bilateria,41ZUB@6656|Arthropoda,3SMMP@50557|Insecta,448BR@7088|Lepidoptera","33208|Metazoa","S","DiGeorge syndrome critical region 6 (DGCR6) protein","-","-","-","-","-","-","-","-","-","-","-","-","DGCR6"
"211","g10199.t1",586.330850925151,1.37685182455718,0.442502113480655,3.11151468571996,0.0018613021575278,0.0447805106075241,"13037.EHJ72006",0,1312,"28IC6@1|root,2QQNQ@2759|Eukaryota,38FCV@33154|Opisthokonta,3BHHR@33208|Metazoa,3CWAE@33213|Bilateria,41XWC@6656|Arthropoda,3SKGM@50557|Insecta,4456B@7088|Lepidoptera","33208|Metazoa","S","RNA binding","-","-","-","-","-","-","-","-","-","-","-","-","-"
"220","g10206.t1",10361.5972594213,-1.1121035321044,0.308524817953105,-3.60458370734195,0.000312653670084945,0.0130473218832539,"34740.HMEL004514-PA",3.17e-211,592,"28J0Z@1|root,2QRCZ@2759|Eukaryota,39R20@33154|Opisthokonta,3BG8R@33208|Metazoa,3D1GV@33213|Bilateria,41TFE@6656|Arthropoda,3SJ5Y@50557|Insecta,443BC@7088|Lepidoptera","33208|Metazoa","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"233","g10218.t1",17.9326152221682,5.70561836028139,1.49813969121292,3.80846885890997,0.000139829951975528,0.00722832670662685,"7091.BGIBMGA000387-TA",0,1277,"COG4886@1|root,KOG0619@2759|Eukaryota","2759|Eukaryota","U","regulation of response to stimulus","-","-","-","ko:K13023","-","-","-","-","ko00000,ko01002","-","-","-","-"
"304","g10289.t1",7709.24142899463,-2.33355991090703,0.473056019119035,-4.93294624017845,8.09984542982071e-07,0.000129106851577568,"13037.EHJ67537",4.07e-115,353,"29T6S@1|root,2RXFN@2759|Eukaryota,3A19H@33154|Opisthokonta,3BQ6J@33208|Metazoa,3D6RS@33213|Bilateria,41YSM@6656|Arthropoda,3SMF9@50557|Insecta,445B3@7088|Lepidoptera","33208|Metazoa","S","Structural constituent of cuticle","-","-","-","-","-","-","-","-","-","-","-","-","-"
"337","g10321.t1",1867.9393233231,-1.79121039227215,0.55832920015695,-3.20816176508165,0.00133586337500881,0.0355692995164759,"34740.HMEL010469-PA",2.07e-125,366,"2F2UZ@1|root,2T3TN@2759|Eukaryota,38XMC@33154|Opisthokonta,3C5NQ@33208|Metazoa,3DSSU@33213|Bilateria,428VU@6656|Arthropoda,3SYCF@50557|Insecta,4474Y@7088|Lepidoptera","33208|Metazoa","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"352","g10340.t1",4389.14304108152,-1.11381121142874,0.28730360780802,-3.87677418994684,0.000105850511602377,0.00596998669916114,"136037.KDR13577",0,891,"KOG3689@1|root,KOG3689@2759|Eukaryota,38EXP@33154|Opisthokonta,3B97Q@33208|Metazoa,3CS86@33213|Bilateria,41VQW@6656|Arthropoda,3SHSD@50557|Insecta","33208|Metazoa","T","3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction","-","GO:0000003,GO:0000902,GO:0000904,GO:0001661,GO:0003008,GO:0003674,GO:0003824,GO:0004112,GO:0004114,GO:0004115,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0007154,GO:0007165,GO:0007267,GO:0007268,GO:0007275,GO:0007399,GO:0007409,GO:0007610,GO:0007611,GO:0007612,GO:0007613,GO:0007614,GO:0007615,GO:0007617,GO:0007618,GO:0007619,GO:0007622,GO:0007623,GO:0007626,GO:0007631,GO:0007635,GO:0008081,GO:0008150,GO:0008306,GO:0008355,GO:0009266,GO:0009628,GO:0009636,GO:0009653,GO:0009966,GO:0009987,GO:0010033,GO:0010646,GO:0010738,GO:0016043,GO:0016049,GO:0016787,GO:0016788,GO:0019098,GO:0019932,GO:0019933,GO:0019935,GO:0019953,GO:0022008,GO:0022414,GO:0023051,GO:0023052,GO:0030030,GO:0030154,GO:0030182,GO:0030534,GO:0031175,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0035556,GO:0040007,GO:0040040,GO:0042048,GO:0042221,GO:0042493,GO:0042578,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0045471,GO:0045475,GO:0046677,GO:0046958,GO:0048149,GO:0048468,GO:0048511,GO:0048512,GO:0048583,GO:0048588,GO:0048589,GO:0048609,GO:0048666,GO:0048667,GO:0048675,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051704,GO:0051716,GO:0060560,GO:0061564,GO:0065007,GO:0071840,GO:0072375,GO:0097305,GO:0098916,GO:0099536,GO:0099537,GO:0120036,GO:0120039,GO:1901700,GO:1902531,GO:1990138","3.1.4.53","ko:K13293","ko00230,ko04024,ko05032,map00230,map04024,map05032","-","R00191","RC00296","ko00000,ko00001,ko01000","-","-","-","PDEase_I"
"402","g10390.t1",659.080068503223,-4.73180755097314,1.00399293799754,-4.71298887859781,2.44109524754511e-06,0.000318341012054861,"13037.EHJ63182",8.39000000000002e-310,857,"KOG2157@1|root,KOG2157@2759|Eukaryota,38HYR@33154|Opisthokonta,3BEN5@33208|Metazoa,3CVY3@33213|Bilateria,41WZQ@6656|Arthropoda,3SHM7@50557|Insecta,442AY@7088|Lepidoptera","33208|Metazoa","O","Tubulin-tyrosine ligase family","-","-","-","ko:K16600","-","-","-","-","ko00000,ko01000,ko04812","-","-","-","-"
